item_id;published;content;channel;content_type;link;category;campaign;assigned_tags;likes;comments;shares;reach
25749975|1418216725476229000;01.01.2017 15:30;"On tracks, roads and even in tunnels, the @MercedesAMG #GTS is a joy to behold.

#Mercedes #AMG #Supercar #Carsofinstagram
[#MercedesAMG GT S | Fuel consumption combined: 9.6-9.4 l/100 km | CO2 emission: 224-219 g/km | http://benz.me/efficiency-statement]";INSTAGRAM;image;https://www.instagram.com/p/BOuhJkIhz-I/;amg-gt coupé;NULL;AMG, amg-gt coupé;123717;139;n/a;1795199
54502344|946941471697010688;30.12.2017 03:10;"The night is still young. ??

?? William Walker #MBPhotopass @MBUSA #SClass #Coupe https://t.co/3kahleiJoL";TWITTER;photo;https://t.co/3kahleiJoL;s-class coupé;NULL;s-class coupé;2909;44;624;244020
6604386669|10154912191186670;01.01.2017 18:00;"Turn up the volume and roar into 2017 – with the awesome-sounding AMG 6.0-liter V12 biturbo engine of the Mercedes-AMG G 65.

[Fuel consumption combined: 17.0 l/100 km | combined CO2 emissions: 397 g/km | http://mb4.me/efficiency_statement]";FACEBOOK;video;https://facebook.com/6604386669/posts/10154912191186670;g-class suv;NULL;AMG, g-class suv;25693;1271;1377;2859643
25749975|1418307161775411839;01.01.2017 18:30;"Happy New Year Everyone.

Photo by @mximlr

#happynewyear #thebestornothing #mbfanphoto #cclass #â¤ï¸ #ð· #ð #ð";INSTAGRAM;image;https://www.instagram.com/p/BOu1tlgBBJ_/;c-class estate;NULL;c-class estate;111660;189;n/a;1786110
mercedesbenztv|z1u-dPavNaQ;30.12.2017 00:00;"Mercedes-AMG GT: The GT Family at Bilster Berg Pt. 1 | #MBFanFilm
Race driver Jan Seyffarth invites „fünfkommasechs“ to a very special event: the Mercedes-AMG GT family reunion! From the original GT via GT S and GT C (Roadster) all the way up to the GT3 and GT4 customer race cars, presented to you by „Mister DTM“ Bernd Schneider. Subscribe to the channel so you get notified for new exciting videos here: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

Mercedes-AMG GT R:
Fuel consumption combined: 11.4 l/100 km;
combined CO₂ emissions: 259 g/km.*

Mercedes-AMG GT Roadster:
Fuel consumption combined: 9.6–9.4 l/100 km;
combined CO₂ emissions: 224–219 g/km.*

Mercedes-AMG GT C Roadster:
Fuel consumption combined: 11.4 l/100 km;
combined CO₂ emissions: 259 g/km.*

Mercedes-AMG GT Coupé:
Fuel consumption combined: 9.6–9.3 l/100 km;
combined CO₂ emissions: 224–216 g/km.*

Mercedes-AMG GT S Coupé:
Fuel consumption combined: 9.6–9.4 l/100 km;
combined CO₂ emissions: 224–219 g/km.*

Mercedes-AMG GT C Coupé:
Fuel consumption combined: 11.4 l/100 km;
combined CO₂ emissions: 259 g/km.*

Prior to the reunion, videographer Johannes Schlörb has to learn and master a slippery Bilster Berg track with the „Beast of the Green Hell“, the 585 horsepower Mercedes-AMG GT R! This is part one of two.

► More information about the Mercedes-AMG GT Family:
http://mb4.me/amg-gt-family

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More videos featuring the GT Family:
https://www.youtube.com/playlist?list=PL0ORtgsuktfkjK6e8ERLjrJ-suPf8RWPu

► More interesting playlists:
Mercedes-AMG: https://www.youtube.com/playlist?list=PLDE663109C5BC6913
Road Trips: https://www.youtube.com/playlist?list=PL0ORtgsuktfmtYIcJRtTgWcPNSkYdSjjm
Best of Benz: https://www.youtube.com/playlist?list=PL0ORtgsuktfnQQInk7JWdVVmqMiw5Phtw

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/

Product may vary after press date on 29.12.2017.

* The figures are provided in accordance with the German regulation “PKW-EnVKV” and apply to the German market only. Further information on official fuel consumption figures and the official specific CO₂ emissions of new passenger cars can be found in the EU guide “Information on the fuel consumption, CO₂ emissions and energy consumption of new cars”, which is available free of charge at all sales dealerships, from DAT Deutsche Automobil Treuhand GmbH and at www.dat.de.";YOUTUBE;video;https://www.youtube.com/watch?v=z1u-dPavNaQ;lifestyle;NULL;AMG, lifestyle;415;34;n/a;17652
54502344|946877284975304704;29.12.2017 22:55;The Mercedes-Benz GLE is the perfect vehicle for a road trip along the Algarve coast. Discover the most beautiful s… https://t.co/Zx3gmvSJCc;TWITTER;NULL;https://t.co/Zx3gmvSJCc;lifestyle;My Guide;lifestyle, GLE suv;156;2;20;55880
25749975|1418440633127152910;01.01.2017 22:55;"Things look bright, especially when you're seated in a #MercedesBenz #SLC.

Photo by @fabpetersson for #MBsocialcar

#Mercedes #Benz #Cabriolet #TheBestOrNothing";INSTAGRAM;image;https://www.instagram.com/p/BOvUD2Yhi0O/;SLC;#MBsocialcar;SLC;96719;115;n/a;1726335
6604386669|10154912242736670;02.01.2017 02:00;"On tracks, roads and even in tunnels, the Mercedes-AMG GT S is a joy to behold.

[Mercedes-AMG GT S | Fuel consumption combined: 9.6-9.4 l/100 km | CO2 emission: 224-219 g/km | http://benz.me/efficiency-statement]";FACEBOOK;photo;https://facebook.com/6604386669/posts/10154912242736670;amg-gt coupé;NULL;AMG, amg-gt coupé;24226;124;483;1588602
5383634|s6352563415977992192;29.12.2017 18:39;Sometimes it’s fun to spend the holidays with the whole family. Check out the Mercedes-AMG GT family reunion Part 1:  [Kraftstoffverbrauch: 11,4 - 9,3l/100km | CO2 Emissionen: 259 - 216 g/km];LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6352563415965405184;lifestyle;NULL;AMG, lifestyle;78;2;7;14077
54502344|946803024378376192;29.12.2017 18:00;Race driver @janseyffarth invites fuenfkommasechs.de? to a very special event: the Mercedes-AMG GT family reunion!… https://t.co/90Ttw3C03u;TWITTER;NULL;https://t.co/90Ttw3C03u;lifestyle;NULL;AMG, lifestyle;99;0;11;53151
54502344|946802267662966784;29.12.2017 17:57;We are convinced: The future is electric. That is why we are setting the course for tomorrow today. We prove this w… https://t.co/jWW0izixQI;TWITTER;NULL;https://t.co/jWW0izixQI;innovation;NULL;innovation;616;8;148;109971
25749975|1418594075808253345;02.01.2017 04:00;Wonderful 1972 Mercedes-Benz 250 Coupe! Photo from @thankyoualfred via @goldie_oldie_72 #Mercedes #MBCar #Cartastic #DreamCar #ClassicCar #MBClassic #MercedesBenz #Luxury #Lifestyle  #Coupe #Oldtimer #Automobile;INSTAGRAM;image;https://www.instagram.com/p/BOv28vBBkWh/;classic;NULL;classic;143297;314;n/a;2047099
54502344|946764057264164870;29.12.2017 15:25;Commissioned by the Group and taking up Andy Warhol’s unfinished Cars series, Robert Longo depicted several car mod… https://t.co/FecUEqnFGQ;TWITTER;NULL;https://t.co/FecUEqnFGQ;other;NULL;other;284;2;33;66636
54502344|946753942070861824;29.12.2017 14:45;The #Arocs is the highly specialized allrounder among the heavy-duty construction vehicles. Follow Markus our Event… https://t.co/1jnuZVLM5b;TWITTER;NULL;https://t.co/1jnuZVLM5b;arocs;NULL;arocs;354;4;58;72120
25749975|1418730591435945994;02.01.2017 08:31;"Spending the night with stars. â­ï¸ Photo shot by @ofehaid.
_______________________________
#MercedesBenz #GClass #GWagon #4x4squared #mbfanphoto #mbcar #desertðµ #underthestars #automotivedesign";INSTAGRAM;image;https://www.instagram.com/p/BOwV_TGhPgK/;g-class 4x4²;NULL;g-class 4x4²;151612;291;n/a;2072085
6604386669|10154915126731670;02.01.2017 09:00;"January 6, 1 p.m. PST, Ola Källenius & Saeed Amidi, founder and CEO of Plug and Play Tech Center, discuss whether society changes from „owning to sharing“ in their inspiration talk at #CES2017 hosted by Guy Kawasaki.
If you want to ask your question, just write it down in the comment section!";FACEBOOK;video;https://facebook.com/6604386669/posts/10154915126731670;innovation;CES 2017;innovation, trade show, Livestream;5287;295;191;1170529
54502344|946718751239688193;29.12.2017 12:25;"Maximum power, minimum hassle - double trouble!

?? @MBUSA #MBPhotopass #GTFamily #SquadGoals 
[Verbrauch 11,4-9,3l/… https://t.co/juDalYrlyq";TWITTER;NULL;https://t.co/juDalYrlyq;passenger-cars;NULL;passenger-cars, amg-gt coupé, amg-gt roadster;973;9;163;85010
6604386669|10154915337446670;02.01.2017 11:37;"In summer 2016, Mercedes-Benz joined Lufthansa on their inaugural flight from Frankfurt to San Jose, California. This marked the beginning of a shared vision, together we set out to rethink the future of travel. 
▶ http://mb4.me/MBxLufthansa";FACEBOOK;photo;https://facebook.com/6604386669/posts/10154915337446670;g-class suv;NULL;g-class suv;18177;44;229;1371053
6604386669|10154915443431670;02.01.2017 13:00;January 6, 2 p.m. PST, Michael Hafner & technical evangelist Robert Scoble will join Guy Kawasaki for the inspirational talk on autonomous driving at Daimler. We’ll stream live from #CES2017 – if you have any questions for our experts, please leave them in the comments below!;FACEBOOK;video;https://facebook.com/6604386669/posts/10154915443431670;innovation;CES 2017;innovation, trade show, Livestream;5342;412;196;1152813
25749975|1418895799508829068;02.01.2017 13:59;"Off to many more miles in style. Photo shot by @tamm.pasin.
_____________________________
#MercedesBenz #mbfanphoto #mercedesbenzmuseum #readyfor2017 #mbclassic #fintail #drivinginstyle";INSTAGRAM;image;https://www.instagram.com/p/BOw7jZHBIOM/;classic;NULL;classic;89538;120;n/a;1584429
25749975|1418911255149994777;02.01.2017 14:30;"Red represents energy, action, desire and passion - everything the @MercedesAMG #G63 stands for.

Photo by @addictedtolight_com for #MBsocialcar

#Mercedes #Benz #AMG
[#MercedesAMG G 63 | Combined fuel consumption 13.8 l/100km | Combined CO2 emission 322 g/km]";INSTAGRAM;image;https://www.instagram.com/p/BOw_ETTBOMZ/;g-class suv;#MBsocialcar;AMG, g-class suv;153757;289;n/a;2056206
54502344|946548863271358465;29.12.2017 01:10;Join Olivier Zahm’s puppet assistant Petit Oz behind the scenes at the Mercedes-Benz 2017 Fashion Story… https://t.co/ynLhxCYfui;TWITTER;NULL;https://t.co/ynLhxCYfui;fashion;NULL;fashion, EQ;129;0;18;50094
mercedesbenztv|DfLD8RGKd5w;29.12.2017 00:00;"Mercedes-Benz Arocs Performance Days: Off the road with MB Trucks | #MBreporter
The Mercedes-Benz Arocs is a highly specialised allrounder amongst heavy-duty construction vehicles. Follow Mercedes-Benz reporter Markus Haubold as he shows the strength of this vehicle and explains how it can handle even the most challenging situation so well. Subscribe to the channel so you get notified for new exciting videos here: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV.

The new Arocs can powerfully master every driving situation. All the components of the drive system are produced exclusively at Mercedes-Benz and are designed for the special requirements in construction transport. The intelligent control of the drive components, the high torque of the engines plus the extremely short shift times of Mercedes PowerShift 3 ensure that there is more power available than was previously the case. For the best possible traction and good steerability the drive system, chassis, suspension and frame form a precisely coordinated working team which is optimally configured in all Arocs vehicles for the particular application in question on the road, on the construction site or in extreme terrain.

► More information about the Mercedes-Benz Arocs:
http://mb4.me/arocs-yt

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More videos featuring Mercedes-Benz Trucks:
https://www.youtube.com/playlist?list=PL0ORtgsuktflwwqumszM68B7XLGsD7AxY

► More interesting playlists:
Buses: https://www.youtube.com/playlist?list=PL0ORtgsuktfl1Ym4IDkr_ljxpcM3AtsmT
Vans: https://www.youtube.com/playlist?list=PL0ORtgsuktfn3j-AmsUFVshAMNL6SG7Bz
Mercedes-Benz Reporter: https://www.youtube.com/playlist?list=PL64E0D907B2CDD407

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=DfLD8RGKd5w;arocs;NULL;arocs;2056;75;n/a;161740
25749975|1419016846753330603;02.01.2017 18:00;"Always nice to be in Venice.

Photo by @Teymur

#lalaland #losangeles #la #venicebeach #thebestornothing #sunshine #bekind #ð¤#âï¸";INSTAGRAM;image;https://www.instagram.com/p/BOxXE3JBvWr/;e-class sedan;NULL;AMG, e-class sedan;86441;139;n/a;1609734
6604386669|10154915221016670;02.01.2017 18:00;The new Mercedes-Benz GLA. Fitness programme for the compact SUV. World premiere on 9 January 2017 at the North American International Auto Show #NAIAS in Detroit.;FACEBOOK;photo;https://facebook.com/6604386669/posts/10154915221016670;GLA suv;NULL;trade show, GLA suv;30096;340;1056;1729058
54502344|946478433697173505;28.12.2017 20:30;"Intelligent interior, elegant exterior!

?? @philipprpprcht #MBsocialcar #EClass #Coupe https://t.co/g2UduuCQJ9";TWITTER;photo;https://t.co/g2UduuCQJ9;e-class coupé;#MBsocialcar;e-class coupé;1077;15;225;91384
25749975|1419165452856580149;02.01.2017 22:55;"The new #MercedesBenz #GLA.
Fitness programme for the compact #SUV. World premiere on 9 January 2017 at the North American International Auto Show #NAIAS in #Detroit.

#Mercedes #Benz #TheBestOrNothing";INSTAGRAM;image;https://www.instagram.com/p/BOx43XXBdg1/;GLA suv;NAIAS 2017;trade show, GLA suv;122206;275;n/a;1923423
5383634|s6352203297264402432;28.12.2017 18:48;In der sechsten und letzten Runde der AMG-Reihe zum 50. Geburtstag beleuchtet der Daimler Blog die Sportwagen der Superlative in der Zeit von 2010 bis heute: ;LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6352203297088249856;SLS AMG;NULL;SLS AMG, AMG;15;0;1;3362
25749975|1419318981252538719;03.01.2017 04:00;Winterwonderland! Photo by @lv190 #mercedes #star #mercedesbenz #snow #winter #wonderland #instacar #mbcar;INSTAGRAM;image;https://www.instagram.com/p/BOybxf0huFf/;classic;NULL;classic;120747;169;n/a;1825142
54502344|946425032577712128;28.12.2017 16:58;The S in CASE is for Shared & Services. Therefore we created Mercedes me – an ecosystem of intelligent mobility sol… https://t.co/95yAfSCwr7;TWITTER;NULL;https://t.co/95yAfSCwr7;innovation;NULL;innovation, Shared/Services CH;298;2;64;62853
54502344|946397885758955520;28.12.2017 15:10;"Getting lost in the snow? Feel the heat with the #GLS!

?? Heiko Kunkel #MBsocialcar #SUV #Snow https://t.co/xkMZe9KwX4";TWITTER;photo;https://t.co/xkMZe9KwX4;GLS;#MBsocialcar;GLS;1088;17;158;101034
25749975|1419459712004798706;03.01.2017 08:40;"Driving Performance at its finest. â­ Photo shot by @themaverique.
__________________________
Mercedes-AMG S 63 CoupÃ© -  Fuel consumption 10.3 w- 10.1 l/100 km | CO2 emission combined 242 - 237 g/km
.
#MercedesBenz #MercedesAMG #DrivingPerformance #mbfanphoto #mbcar #automotivedesign #atthebeach #industrialdesign";INSTAGRAM;image;https://www.instagram.com/p/BOy7xZjBjjy/;s-class coupé;NULL;AMG, s-class coupé;267610;535;n/a;2797924
6604386669|10154917887181670;03.01.2017 10:00;"Cassandra Steen is well established in the German music scene. We accompanied the singer through Stuttgart in a W111 Cabriolet. Between Weissenhofsiedlung and the Christmas Market, she talked to us about her work, her desire for freedom, and the pressure women face in the music industry.

Read the story here: http://mb4.me/csteen";FACEBOOK;photo;https://facebook.com/6604386669/posts/10154917887181670;She’s Mercedes;NULL;classic, She’s Mercedes;24681;223;744;1900270
25749975|1419578132062901016;03.01.2017 12:35;"Like father, like son. ð Photo shot by @alittalein with @jameljamen.
___________________________
#MercedesBenz #GClass #GWagon #mbfanphoto #mbcar #cominghome #carsforkids #adventuremobile #campvibes #whileinbetween";INSTAGRAM;image;https://www.instagram.com/p/BOzWso0hZMY/;g-class suv;NULL;g-class suv;180270;632;n/a;2198047
25749975|1419636083360454398;03.01.2017 14:30;"May the journey never end: the #MercedesBenz #EClass #Estate.

Photo: @rafael__weinberger for #MBsocialcar

#Mercedes #Benz #TheBestOrNothing #Carsofinstagram";INSTAGRAM;image;https://www.instagram.com/p/BOzj38LBtb-/;e-class estate;#MBsocialcar;e-class estate;173041;241;n/a;2176906
54502344|946307324867641344;28.12.2017 09:10;"Tackle the best nature has to throw at you without any hesitation. #MarcoPolo

Photos: Johannes Glöggler for… https://t.co/zOv76fZGlr";TWITTER;NULL;https://t.co/zOv76fZGlr;camper-vans;#MBsocialcar;camper-vans;431;2;70;62993
25749975|1419741894443213064;03.01.2017 18:00;"It's, as always, all in the beautiful details.

Photo @peterlintner

#happyholidays #GLC #winterwonderland #winterishere #âï¸ #âï¸ #ð #ð #ð #whiteonwhite #thebestornothing #mercedesbenz #yoga #caryoga [GLC 220 d 4MATIC:
Fuel consumption combined: 5.5-5.0 l/100 km;
COâ-emissions combined: 143-129 g/km.*]";INSTAGRAM;image;https://www.instagram.com/p/BOz77sbByEI/;GLC suv;NULL;GLC suv;122300;145;n/a;1758686
6604386669|10154917854696670;03.01.2017 19:00;"Maximised use is the third pillar of Mercedes-Benz RoadEfficiency. Key factors are inherently reliable, high-quality trucks and technical innovations. We offer a Europe-wide network of workshops, Service24h, comprehensive FleetBoard services and Mercedes-Benz Service Contracts to suit your needs. 

Get to know everything: http://benz.me/MaximisedUse";FACEBOOK;photo;https://facebook.com/6604386669/posts/10154917854696670;actros;NULL;actros;10956;53;158;856265
25749975|1419890167216660085;03.01.2017 22:55;"The #MercedesBenz #GLS doesn't need the extra horse...excuse us, dog power; it makes for this awesome picture though.

MBPhotoPass: @trentbonaphoto feat. @Loki_The_Wolfdog via @mbusa

#Mercedes #Benz #TheBestOrNothing #DogsOfInstagram";INSTAGRAM;image;https://www.instagram.com/p/BO0dpWNBN51/;GLS;NULL;GLS;218419;433;n/a;2482699
54502344|946191534457806849;28.12.2017 01:30;"Breathtaking view for a groundbreaking ride!

?? Roman Rätzke #MBsocialcar #CLS #Alps https://t.co/Db2n7OV8N9";TWITTER;photo;https://t.co/Db2n7OV8N9;CLS coupé;#MBsocialcar;CLS coupé;671;7;91;75411
mercedesbenztv|W_spA4tqxkg;28.12.2017 00:00;"Top 10 G-Class Moments: The Mercedes-Maybach G 650 Landaulet | 2017
A colossus even by G-Class standards and one of the most breathtaking G-Class Moments: The Mercedes-Maybach G 650 Landaulet is a masterpiece of automotive art and a unique combination of power and exclusivity. Subscribe to the channel so you get notified for the next episode here: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV.

Mercedes-Maybach G 650 Landaulet:
Fuel consumption combined: 17.0 l/100 km; 
combined CO₂ emissions: 196 g/km.*

► Experience the greatest moments in the history of the G-Class here: 
http://mb4.me/stronger-than-time

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More videos featuring the G-Glass:
https://www.youtube.com/playlist?list=PLBABDC6D463F85D1D

► More interesting playlists:
X-Class: https://www.youtube.com/playlist?list=PL0ORtgsuktfk_uJ0i68UlZGSYzYQI_iqY
Best of Benz: https://www.youtube.com/playlist?list=PL0ORtgsuktfnQQInk7JWdVVmqMiw5Phtw
#MBvideocar: https://www.youtube.com/playlist?list=PL0ORtgsuktfmtYIcJRtTgWcPNSkYdSjjm

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/

Product may vary after press date on 27.12.2017.

* The figures are provided in accordance with the German regulation “PKW-EnVKV” and apply to the German market only. Further information on official fuel consumption figures and the official specific CO₂ emissions of new passenger cars can be found in the EU guide “Information on the fuel consumption, CO₂ emissions and energy consumption of new cars”, which is available free of charge at all sales dealerships, from DAT Deutsche Automobil Treuhand GmbH and at www.dat.de.";YOUTUBE;video;https://www.youtube.com/watch?v=W_spA4tqxkg;g-class G650 Landaulet;G-Class Campaign 2017;mercedes-maybach, g-glass G650 Landaulet;170;12;n/a;10406
6604386669|10154918024221670;04.01.2017 02:00;"Black Beauty.

Photos by Lisa Linke Photography for #MBsocialcar

[Mercedes-AMG GLE 63 | Fuel consumption combined: 11.9 l/100 km | CO2 emission: 278 g/km | http://benz.me/efficiency-statement]";FACEBOOK;photo;https://facebook.com/6604386669/posts/10154918024221670;GLE coupé;#MBsocialcar;AMG, GLE coupé;38865;725;1037;2563945
54502344|946151285451100160;27.12.2017 22:50;"Born to be a rebel!

?? Frederic Seemann #MBsocialcar 
[Verbrauch 7,3-6,9l/100km|CO? 171-162g/km] https://t.co/zJl76pYR4u";TWITTER;photo;https://t.co/zJl76pYR4u;a-class;#MBsocialcar;a-class, AMG;1254;10;233;111463
54502344|946137411884593154;27.12.2017 21:55;"Keep the lights on: A stunning contrast into the night!

?? Rafael Weinberger #MBsocialcar #GLC https://t.co/hdVys4OLFY";TWITTER;photo;https://t.co/hdVys4OLFY;GLC suv;#MBsocialcar;GLC suv;361;4;58;62564
5383634|s6351830412599398401;27.12.2017 18:06;What does a masterpiece by Picasso, grandma’s settee and a classic car all have in common? Find out in the Mercedes-Benz Magazine: ;LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6351830412586815488;Mercedes-Benz magazine;NULL;Mercedes-Benz magazine;54;1;1;12600
25749975|1420043829100468450;04.01.2017 04:00;The essence of luxury. #Mercedes #Maybach #Luxury #Lifestyle #Dreamcar #InstaCar #Cartastic #Automobile #Best [Mercedes-Maybach S 600 | Fuel consumption combined: 11.7 l/100 km | CO2 emission: 274 g/km | http://benz.me/efficiency-statement];INSTAGRAM;image;https://www.instagram.com/p/BO1Ala_BNji/;mercedes-maybach sedan;NULL;mercedes-maybach sedan;117704;220;n/a;1706592
54502344|946063142794100736;27.12.2017 17:00;"A is for Autonomous.
Autonomous driving redefines the role of the automobile and means more technical and social op… https://t.co/Io0NRlajNv";TWITTER;NULL;https://t.co/Io0NRlajNv;innovation;NULL;innovation, Autonomous CH;382;9;86;75596
6604386669|10154920600256670;04.01.2017 08:33;"Nowadays customers can order online with only a few clicks. However, they are also becoming more demanding in terms of the delivery time. Handling this challenge has become almost impossible with conventional transport systems. 

The Mothership concept from Mercedes-Benz Vans and Starship offers an efficient and environmentally friendly solution.

▶ http://mb4.me/MercedesBenzVans";FACEBOOK;video;https://facebook.com/6604386669/posts/10154920600256670;transporter;NULL;transporter;3816;47;198;750932
25749975|1420181623714344154;04.01.2017 08:34;"The peace of the forest. 4MATIC for the win. â­ Photo shot by @itssamkwokswhip via @mbtruenorth. 
__________
#MercedesBenz #CClass #mbfanphoto #mbcar #4MATIC #readyforwinter #automotivedesign #whileinbetween";INSTAGRAM;image;https://www.instagram.com/p/BO1f6mOB-za/;c-class sedan;NULL;c-class sedan;176265;244;n/a;2169720
54502344|946019130511183872;27.12.2017 14:05;When was the last time you did nothing? Our #fitandhealthy series explains how inactivity could work as an alternat… https://t.co/clkBRuzUxq;TWITTER;NULL;https://t.co/clkBRuzUxq;lifestyle;Fit & Healthy;lifestyle, Fit & Healthy;217;2;40;56495
